CookerStat, GenerateAssetRegistry=0.019923, Initialize=0.108071, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8121F87A46E5BCD67FD93BA9CCE222FC__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=458, Duration=1.540765, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_D43BA45A48E005AFAF7187BAA499B570__277B6C2CF3877AB313DCC4758ADA71A00066A5E7, StartTime=2016.04.22-16.52.11, HierarchicalDDC=, DataSize=524550, Duration=11.511662, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_D43BA45A48E005AFAF7187BAA499B570__9C3A140CF0C75F0AFA0E5829507FF1CCFF72AF94, StartTime=2016.04.22-16.52.11, HierarchicalDDC=, DataSize=131332, Duration=4.675426, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_D43BA45A48E005AFAF7187BAA499B570__87558FA4D38193A6836FE8BF16DE4F7D4CB8D81C, StartTime=2016.04.22-16.52.11, HierarchicalDDC=, DataSize=33028, Duration=5.253211, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdA3039E5140E09DFD238C9F9C7282B1C0_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BEC35B684F00709D86A1EB89ED8E7FFB_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.11, Duration=4.823040, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_D43BA45A48E005AFAF7187BAA499B570__C28D3D0B19721A84D45AFC8FADE2E5686B4FC364, StartTime=2016.04.22-16.52.11, HierarchicalDDC=, DataSize=8452, Duration=10.652527, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_D43BA45A48E005AFAF7187BAA499B570__242247124685206F77F998F83AAA2F9B0801B151, StartTime=2016.04.22-16.52.11, HierarchicalDDC=, DataSize=4437, Duration=3.416609, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdA3039E5140E09DFD238C9F9C7282B1C0_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_E15C1AD24307B1B6E3B6969F3B0306EB_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.11, Duration=8.055202, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BEC35B684F00709D86A1EB89ED8E7__BC82BA65CEC8E7A5A6F942DC8F33EED7436986B5, StartTime=2016.04.22-16.52.11, HierarchicalDDC=, DataSize=16647, Duration=2.862070, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BEC35B684F00709D86A1EB89ED8E7__AD6E789706B9796886E6821DF344AE70C72FDA31, StartTime=2016.04.22-16.52.11, HierarchicalDDC=, DataSize=6309, Duration=3.835611, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_E15C1AD24307B1B6E3B6969F3B0306EB__F5677738072EA21E86CF6DB5CA7A21A56D5D97FE, StartTime=2016.04.22-16.52.11, HierarchicalDDC=, DataSize=8452, Duration=16.216063, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdA3039E5140E09DFD238C9F9C7282B1C0_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5D71BEDB4750F53E8E3BEA880EF5496B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.11, Duration=2.571966, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_E15C1AD24307B1B6E3B6969F3B0306EB__69E915EDC4B617583167F74991357566832E2AA1, StartTime=2016.04.22-16.52.11, HierarchicalDDC=, DataSize=3559, Duration=12.553432, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5D71BEDB4750F53E8E3BEA880EF54__B36A853ED8750F905D65AE3EBFA62DDBB994D2AA, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=6014, Duration=4.369024, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdA3039E5140E09DFD238C9F9C7282B1C0_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_EAABAFBC4A9AB20477758FA8C397FD36_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.12, Duration=0.245120, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_EAABAFBC4A9AB20477758FA8C397FD36__37023127EA10A1186B316C86FF95AAC73420C2FA, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=3267, Duration=3.783084, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_DAFB1498430647E2A5F9A192179A3__B21C5DD0C509D68653556B39DBA3AF61003A64B0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=1048841, Duration=15.429985, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_DAFB1498430647E2A5F9A192179A3__9AAE932AB255C3278E743D7F1203D1D4E83DF17F, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=262407, Duration=5.820733, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_DAFB1498430647E2A5F9A192179A3__EB67262FD0F4A4AF48C2F73973FEA7EC20456843, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=65799, Duration=5.712964, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_DAFB1498430647E2A5F9A192179A3__F7E12958CF5215F24E931BEB3A1763556ED2C2BF, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=7196, Duration=3.678031, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_DAFB1498430647E2A5F9A192179A3__30A77FE8B9925F9A43E348929C733E259F3A8FD0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=16647, Duration=6.928310, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdA3039E5140E09DFD238C9F9C7282B1C0_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_73AD46F540FA1A03AE7584BFC85CAD00_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.12, Duration=27.612410, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId414416554B1C68119B7B448784896203_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_C4A042414CE9BE03AFDCF8A2B784494A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.12, Duration=0.477865, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_C4A042414CE9BE03AFDCF8A2B784494__FC4C84302E7B2D0F4B79E2A6F2A3F54D7D9B372B, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=33028, Duration=10.159266, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_C4A042414CE9BE03AFDCF8A2B784494__3EF41C57F355377280097B23AE4742DDBBC12679, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=11744, Duration=7.148072, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId414416554B1C68119B7B448784896203_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_55F2B19C4962410BD766F09D06148154_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.12, Duration=0.141881, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_55F2B19C4962410BD766F09D06148154_0__8DA5FE29189059F961153903897B07E5C90A3920, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=3250, Duration=4.309554, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_73AD46F540FA1A03AE7584BFC85CAD0__D0E2ADD919CA0372E20491F1B04D0688943E0413, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=2097414, Duration=12.292006, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_73AD46F540FA1A03AE7584BFC85CAD0__20A8E5F7670DDA6211583D9809105AF9856FECB7, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=524549, Duration=20.068277, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_73AD46F540FA1A03AE7584BFC85CAD0__BABDBA8FDB375A835CB929E92DD678654EC4CC6C, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=131333, Duration=9.719133, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_73AD46F540FA1A03AE7584BFC85CAD0__FD20CD2D356DB6E8DE344875FB0258A92BD00071, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=33028, Duration=3.851306, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_73AD46F540FA1A03AE7584BFC85CAD0__F57F7CE58B85600652A3F65FD83DB969AF840791, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=12624, Duration=4.178539, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B37B16114E102BA7BFDF34921BB65B72__1_0_13123_0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=729, Duration=2.716564, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_23E2EEB6417F381EF0517681A0AF1A9E__1_0_13123_0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=819, Duration=4.018851, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B9016BDC46A137FE142710A5F87EEDC2__1_0_13123_0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=518, Duration=15.088566, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AFF3BEA94CFEA09232A131A160F645F8__1_0_13123_0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=809, Duration=1.405828, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0339C4C6458940BA84C8BABC2C53ED8F__1_0_13123_0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=428, Duration=10.558341, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_809D67AB4CB01F41D91D11B0D34A2297__1_0_13123_0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=506, Duration=10.554720, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_65A14A1C4CA200276671EF856B2526EB__1_0_13123_0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=366, Duration=1.429375, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_774AAB954F4938FA99344EA46E11E08C__1_0_13123_0, StartTime=2016.04.22-16.52.12, HierarchicalDDC=, DataSize=506, Duration=1.631930, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdD98CBD2F449AA2EE3D2D59926D165259_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4761BF564ACB7FD4DA2C45A701650FCD_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.21, Duration=2.731960, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4761BF564ACB7FD4DA2C45A701650__A6F83243194C913B10F8CD55B2F4227A9C019358, StartTime=2016.04.22-16.52.21, HierarchicalDDC=, DataSize=16647, Duration=4.200880, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4761BF564ACB7FD4DA2C45A701650__25B54332B604EBE2746047CC7A4EA25B657BE8F0, StartTime=2016.04.22-16.52.21, HierarchicalDDC=, DataSize=6309, Duration=4.175823, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
SavePackageTransactionId2DD09D934BC5098E5093F1A84D2BC794_0, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Levels/MainLevel.umap, AutoPackageBackupDelegate=8.629371, FlushAsyncLoading=0.006337, FlushStreamingFunc=0.055246, BlockTillAllRequestsFinished=0.006337, ResetLoadersForSaveUnMarkAllObjects=60.814621, TagPackageExports=6.821141, BeginCacheForCookedPlatformData=0.005737, SerializeImports=8.099880, GatherLocalizableTextData=17.765585, MarkNames=0.160296, SerializeSummary=0.020828, SerializeNames=0.623070, SerializeGatherableTextData=0.087239, BuildExportMap=0.497792, SortExportsNonSeekfree=1.457747, SortExportsSeekfreeConstructor=0.065207, SortExportsSeekfreeInner=26.084021, SortExportsSeekfree=0.007849, BuildDependencyMap=0.241499, SerializeImportMap=0.072148, SerializeExportMap=0.064902, SerializeDependencyMap=0.016604, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.998708, SerializeExports=12.654558, SerializeBulkData=35.791382, MoveFile=3.456455, UnaccountedTime=1.354508, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
SavePackageTransactionId2DD09D934BC5098E5093F1A84D2BC794_1, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=13.867788, FlushAsyncLoading=0.013582, FlushStreamingFunc=0.086639, BlockTillAllRequestsFinished=0.006035, ResetLoadersForSaveUnMarkAllObjects=1.161311, TagPackageExports=196.429382, BeginCacheForCookedPlatformData=0.005733, SerializeImports=205.844528, GatherLocalizableTextData=139.938797, MarkNames=1.072559, SerializeSummary=0.023544, SerializeNames=1.092181, SerializeGatherableTextData=1.318887, BuildExportMap=1.790416, SortExportsNonSeekfree=48.206554, SortExportsSeekfreeConstructor=0.022337, SortExportsSeekfreeInner=227.512131, SortExportsSeekfree=0.008151, BuildDependencyMap=2.642300, SerializeImportMap=0.065204, SerializeExportMap=0.876945, SerializeDependencyMap=0.173274, SerializeStringAssetReferenceMap=0.003323, SaveThumbNailsAssetRegistryDataWorldLevelInfo=32.648872, SerializeExports=261.087463, SerializeBulkData=0.011172, MoveFile=3.733575, UnaccountedTime=2.405029, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
SavePackageTransactionId2DD09D934BC5098E5093F1A84D2BC794_2, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=5.811978, FlushAsyncLoading=0.005737, FlushStreamingFunc=0.045884, BlockTillAllRequestsFinished=0.004828, ResetLoadersForSaveUnMarkAllObjects=0.176899, TagPackageExports=191.947449, BeginCacheForCookedPlatformData=0.006035, SerializeImports=204.827515, GatherLocalizableTextData=135.580338, MarkNames=0.917997, SerializeSummary=0.023849, SerializeNames=1.030598, SerializeGatherableTextData=1.468014, BuildExportMap=1.561291, SortExportsNonSeekfree=47.373680, SortExportsSeekfreeConstructor=0.077281, SortExportsSeekfreeInner=222.905533, SortExportsSeekfree=0.008453, BuildDependencyMap=2.559889, SerializeImportMap=0.069432, SerializeExportMap=0.850379, SerializeDependencyMap=0.189576, SerializeStringAssetReferenceMap=0.003017, SaveThumbNailsAssetRegistryDataWorldLevelInfo=30.978910, SerializeExports=253.455170, SerializeBulkData=0.012074, MoveFile=4.231367, UnaccountedTime=2.306316, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
SavePackageTransactionId2DD09D934BC5098E5093F1A84D2BC794_3, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=8.838568, FlushAsyncLoading=0.004526, FlushStreamingFunc=0.040151, BlockTillAllRequestsFinished=0.005733, ResetLoadersForSaveUnMarkAllObjects=0.186861, TagPackageExports=191.226883, BeginCacheForCookedPlatformData=0.006340, SerializeImports=206.908630, GatherLocalizableTextData=137.954880, MarkNames=1.079198, SerializeSummary=0.026263, SerializeNames=1.042072, SerializeGatherableTextData=1.644306, BuildExportMap=1.826942, SortExportsNonSeekfree=47.526127, SortExportsSeekfreeConstructor=0.076070, SortExportsSeekfreeInner=225.594330, SortExportsSeekfree=0.008754, BuildDependencyMap=2.750371, SerializeImportMap=0.061277, SerializeExportMap=0.838909, SerializeDependencyMap=0.202253, SerializeStringAssetReferenceMap=0.004530, SaveThumbNailsAssetRegistryDataWorldLevelInfo=31.284704, SerializeExports=261.972534, SerializeBulkData=0.010569, MoveFile=4.205406, UnaccountedTime=2.761241, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
