CookerStat, GenerateAssetRegistry=0.036828, Initialize=0.128601, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
SavePackageTransactionId797A96DD42CC64BB0148A9850804E98B_0, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Levels/MainLevel.umap, AutoPackageBackupDelegate=7.349432, FlushAsyncLoading=0.012074, FlushStreamingFunc=0.051018, BlockTillAllRequestsFinished=0.006642, ResetLoadersForSaveUnMarkAllObjects=48.001320, TagPackageExports=0.880268, BeginCacheForCookedPlatformData=0.002414, SerializeImports=1.584537, GatherLocalizableTextData=3.922857, MarkNames=0.048298, SerializeSummary=0.019319, SerializeNames=0.343837, SerializeGatherableTextData=0.068825, BuildExportMap=0.207689, SortExportsNonSeekfree=0.115015, SortExportsSeekfreeConstructor=0.054941, SortExportsSeekfreeInner=10.271575, SortExportsSeekfree=0.006035, BuildDependencyMap=0.073660, SerializeImportMap=0.033509, SerializeExportMap=0.018414, SerializeDependencyMap=0.009660, SerializeStringAssetReferenceMap=0.001814, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.738684, SerializeExports=2.351299, SerializeBulkData=3.511097, MoveFile=3.723618, UnaccountedTime=1.398888, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7025B6C545E04468A8EE7CBDEFE513E1__1_0_13123_0, StartTime=2016.04.16-18.13.34, HierarchicalDDC=, DataSize=451, Duration=3.992889, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5D30818D4926BFEBBB7A2A8F4B441C9E__1_0_13123_0, StartTime=2016.04.16-18.13.45, HierarchicalDDC=, DataSize=347, Duration=5.539391, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1ABB9FA0471A33B2BD8AE899C970047A__1_0_13123_0, StartTime=2016.04.16-18.13.45, HierarchicalDDC=, DataSize=347, Duration=7.753033, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D44621A04727B6A471685C994A92046D__1_0_13123_0, StartTime=2016.04.16-18.13.51, HierarchicalDDC=, DataSize=411, Duration=6.938882, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D1A3635A4B4DEC4FC004B4B0E13DA054__1_0_13123_0, StartTime=2016.04.16-18.13.51, HierarchicalDDC=, DataSize=347, Duration=5.472679, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4C436D754CC51D4EB27A59B553FB9413__1_0_13123_0, StartTime=2016.04.16-18.13.51, HierarchicalDDC=, DataSize=347, Duration=5.389962, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B4704F704708526A04670EBEC28E8C5B__1_0_13123_0, StartTime=2016.04.16-18.13.51, HierarchicalDDC=, DataSize=347, Duration=4.381102, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_447D0CDE41FC92911124BEACD2532BB4__1_0_13123_0, StartTime=2016.04.16-18.13.52, HierarchicalDDC=, DataSize=411, Duration=5.081449, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5FF7716D4D4794423889379986637EA8__1_0_13123_0, StartTime=2016.04.16-18.13.52, HierarchicalDDC=, DataSize=347, Duration=4.922360, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EFD9C1CC465B00E6F1AC8D8892CE671F__1_0_13123_0, StartTime=2016.04.16-18.13.52, HierarchicalDDC=, DataSize=347, Duration=7.815525, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BF9EB10C445D06C5112B689B74B34B81__1_0_13123_0, StartTime=2016.04.16-18.13.52, HierarchicalDDC=, DataSize=347, Duration=4.311971, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_91671F4046FBF388BCBC85B853208AB5__1_0_13123_0, StartTime=2016.04.16-18.13.53, HierarchicalDDC=, DataSize=411, Duration=6.120197, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_768FA78841F2CC747392F19A6396F5E9__1_0_13123_0, StartTime=2016.04.16-18.13.53, HierarchicalDDC=, DataSize=347, Duration=4.663050, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_234CFEE8499D3E10D73E3C99086952C3__1_0_13123_0, StartTime=2016.04.16-18.13.53, HierarchicalDDC=, DataSize=347, Duration=7.535383, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B2D6473F4D5A7A7E487C7DA2AD9F94D0__1_0_13123_0, StartTime=2016.04.16-18.13.53, HierarchicalDDC=, DataSize=347, Duration=9.933777, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8E95F15C4747F8CE97FD93AE49D03839__1_0_13123_0, StartTime=2016.04.16-18.13.54, HierarchicalDDC=, DataSize=411, Duration=10.229007, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_401953EB4476E9B911A1339985AE1566__1_0_13123_0, StartTime=2016.04.16-18.13.54, HierarchicalDDC=, DataSize=347, Duration=5.660743, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E47435144C089F5D0A2997AD0D84747D__1_0_13123_0, StartTime=2016.04.16-18.13.54, HierarchicalDDC=, DataSize=347, Duration=8.065474, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_504415EC42D88F73714C5788E9B876B2__1_0_13123_0, StartTime=2016.04.16-18.13.54, HierarchicalDDC=, DataSize=347, Duration=6.300721, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_984F2C4D4DC64D5E5DA7178A89FB5766__1_0_13123_0, StartTime=2016.04.16-18.13.55, HierarchicalDDC=, DataSize=411, Duration=4.682977, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_62442AFA48B186A9118A159FD9572B4E__1_0_13123_0, StartTime=2016.04.16-18.13.55, HierarchicalDDC=, DataSize=347, Duration=5.107410, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DBF92F0C4E842029B642758F1D46F5EC__1_0_13123_0, StartTime=2016.04.16-18.13.55, HierarchicalDDC=, DataSize=347, Duration=6.846208, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E18AD9BF4FA2545C71FCFF8909B8298B__1_0_13123_0, StartTime=2016.04.16-18.13.55, HierarchicalDDC=, DataSize=347, Duration=5.495924, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9FE498E54E697C15C08C498C005B84AD__1_0_13123_0, StartTime=2016.04.16-18.13.58, HierarchicalDDC=, DataSize=411, Duration=2.389636, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_186B50F244F3254454005297517B997D__1_0_13123_0, StartTime=2016.04.16-18.13.58, HierarchicalDDC=, DataSize=347, Duration=4.253712, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C33D7C0C4E45048532F9428817EC00D1__1_0_13123_0, StartTime=2016.04.16-18.13.58, HierarchicalDDC=, DataSize=347, Duration=5.119182, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C7CA4BF14E0EB6E776695BB402BFBDD0__1_0_13123_0, StartTime=2016.04.16-18.13.58, HierarchicalDDC=, DataSize=347, Duration=3.136173, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_226E8F614A82B39DE40101A272A772C2__1_0_13123_0, StartTime=2016.04.16-18.13.59, HierarchicalDDC=, DataSize=411, Duration=6.263587, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6CCB90324E88BD38BBE967A660BD8D8C__1_0_13123_0, StartTime=2016.04.16-18.13.59, HierarchicalDDC=, DataSize=347, Duration=1.718268, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8E9BED944C576B6B252B7DB854998142__1_0_13123_0, StartTime=2016.04.16-18.13.59, HierarchicalDDC=, DataSize=347, Duration=1.479182, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4DC5C99C4AEA7A1C86A2F2A6394E4471__1_0_13123_0, StartTime=2016.04.16-18.13.59, HierarchicalDDC=, DataSize=347, Duration=2.058480, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2E017E254C1E8E8F25B580A6C4D1E7C6__1_0_13123_0, StartTime=2016.04.16-18.14.01, HierarchicalDDC=, DataSize=411, Duration=5.053073, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D997FF9544E9630247DFD0BEDBEDE497__1_0_13123_0, StartTime=2016.04.16-18.14.01, HierarchicalDDC=, DataSize=347, Duration=2.850901, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AC57454D4C949AC04AF42CB2D19558D0__1_0_13123_0, StartTime=2016.04.16-18.14.01, HierarchicalDDC=, DataSize=347, Duration=3.053457, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7A67BAA549605DCFA610CFB2886AA628__1_0_13123_0, StartTime=2016.04.16-18.14.01, HierarchicalDDC=, DataSize=347, Duration=2.613023, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1823015A43C1309917F9ED926E710CED__1_0_13123_0, StartTime=2016.04.16-18.15.00, HierarchicalDDC=, DataSize=411, Duration=4.108813, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_97B672284040BB7ABF900A9844C908BF__1_0_13123_0, StartTime=2016.04.16-18.15.00, HierarchicalDDC=, DataSize=347, Duration=2.553251, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_39C22CDC46FA7F8A3C833CB3DAD6F122__1_0_13123_0, StartTime=2016.04.16-18.15.00, HierarchicalDDC=, DataSize=347, Duration=2.021044, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_93E38C1F4C120AFDE47245AF513BE247__1_0_13123_0, StartTime=2016.04.16-18.15.00, HierarchicalDDC=, DataSize=347, Duration=4.717089, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DE5DE03F46B20F9BFB0F3AA13E590665__1_0_13123_0, StartTime=2016.04.16-18.15.00, HierarchicalDDC=, DataSize=411, Duration=5.345591, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CC33E35F47A14FA67078018D7E6DDB08__1_0_13123_0, StartTime=2016.04.16-18.15.00, HierarchicalDDC=, DataSize=347, Duration=1.713742, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_44B160344C5C4428C8C892B8F02F51EB__1_0_13123_0, StartTime=2016.04.16-18.15.00, HierarchicalDDC=, DataSize=347, Duration=13.503737, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ACB37FFB410D31B614D0D6AC86AD0F54__1_0_13123_0, StartTime=2016.04.16-18.15.00, HierarchicalDDC=, DataSize=347, Duration=1.983315, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F9E2C6B14F54E7B08A16B486E251D5E0__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=411, Duration=21.341297, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5D4C1D9B459505C68351F8ADC882015E__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=347, Duration=1.628611, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6E97DF5B4DE1C9677BEE2C8790CD36B6__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=347, Duration=1.710117, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9140AD294AA90A792B669E8CE3D3D34A__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=347, Duration=5.231175, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FD489F0F4C61F8346EFEA693CD68A5D3__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=411, Duration=5.018357, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C2FC2C724B5B547FB201B38C3F75D161__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=347, Duration=1.985427, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D7F6929E44832FD3C4E96986F9649B41__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=347, Duration=1.759324, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7F8B13544F45B8219C69C18F0980EEAA__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=347, Duration=1.342438, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_010A4C464A4CD07F34FE399EC1DB21B6__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=411, Duration=9.362329, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1B85268E4C6E0134AAD9E9B737EB9547__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=347, Duration=9.169731, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9FE1D840477974DE3E464EA80CA00377__1_0_13123_0, StartTime=2016.04.16-18.15.01, HierarchicalDDC=, DataSize=347, Duration=4.742749, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
